,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,ai_impact,tasks,ai_models,ai_workload_ratio,domain
0,2024,SE,FT,Data Engineer,195800,USD,195800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
1,2024,SE,FT,Data Engineer,97497,USD,97497,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
2,2024,SE,FT,Data Engineer,166000,USD,166000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
3,2024,SE,FT,Data Engineer,95000,USD,95000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
4,2024,SE,FT,Data Engineer,237100,USD,237100,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
5,2024,SE,FT,Data Engineer,118094,USD,118094,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
6,2024,SE,FT,Data Engineer,139360,USD,139360,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
7,2024,SE,FT,Data Engineer,86840,USD,86840,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
8,2024,SE,FT,Data Engineer,206000,USD,206000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
9,2024,SE,FT,Data Engineer,92700,USD,92700,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
10,2024,MI,FT,Data Engineer,137000,USD,137000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
11,2024,MI,FT,Data Engineer,60400,USD,60400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
12,2024,MI,FT,Data Engineer,172000,USD,172000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
13,2024,MI,FT,Data Engineer,75600,USD,75600,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
14,2024,MI,FT,Data Engineer,207000,USD,207000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
15,2024,MI,FT,Data Engineer,173000,USD,173000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
16,2024,MI,FT,Data Engineer,279400,USD,279400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
17,2024,MI,FT,Data Engineer,248920,USD,248920,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
18,2024,SE,FT,Data Engineer,273700,USD,273700,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
19,2024,SE,FT,Data Engineer,103700,USD,103700,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
20,2024,SE,FT,Data Engineer,230800,USD,230800,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
21,2024,SE,FT,Data Engineer,96200,USD,96200,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
22,2024,MI,FT,Data Engineer,152950,USD,152950,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
23,2024,MI,FT,Data Engineer,105400,USD,105400,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
24,2024,EN,FT,Data Engineer,90300,USD,90300,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
25,2024,EN,FT,Data Engineer,50200,USD,50200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
26,2024,MI,FT,Data Engineer,131800,USD,131800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
27,2024,MI,FT,Data Engineer,61800,USD,61800,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
28,2024,MI,FT,Data Engineer,160000,USD,160000,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
29,2024,MI,FT,Data Engineer,95200,USD,95200,US,100,US,M,30%,216,1478,0.1461434370771312,Hospitality
30,2024,SE,FT,Data Engineer,281000,USD,281000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
31,2024,SE,FT,Data Engineer,206000,USD,206000,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
32,2024,SE,FT,Data Engineer,250200,USD,250200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
33,2024,SE,FT,Data Engineer,117200,USD,117200,US,0,US,M,30%,216,1478,0.1461434370771312,Hospitality
